eventdatetime,customername,address,city,state,zip,productname
2020-02-26T09:40:34.978064-06:00,idicustomer 11,1435 Lake cook rd,deerfield,IL,60015,product 11
2020-02-26T09:40:34.5648874-06:00,idicustomer 6,1435 Lake cook rd,deerfield,IL,60015,product 6
2020-02-26T09:40:31.1437289-06:00,idicustomer 0,1435 Lake cook rd,deerfield,IL,60015,product 0
2020-02-26T09:40:36.5192435-06:00,idicustomer 31,1435 Lake cook rd,deerfield,IL,60015,product 31
2020-02-26T09:40:40.363191-06:00,idicustomer 86,1435 Lake cook rd,deerfield,IL,60015,product 86
2020-02-26T09:40:40.6603931-06:00,idicustomer 91,1435 Lake cook rd,deerfield,IL,60015,product 91
2020-02-26T09:40:39.0991408-06:00,idicustomer 66,1435 Lake cook rd,deerfield,IL,60015,product 66
2020-02-26T09:40:38.7650953-06:00,idicustomer 61,1435 Lake cook rd,deerfield,IL,60015,product 61
2020-02-26T09:40:35.0362847-06:00,idicustomer 12,1435 Lake cook rd,deerfield,IL,60015,product 12
2020-02-26T09:40:34.6759019-06:00,idicustomer 7,1435 Lake cook rd,deerfield,IL,60015,product 7
2020-02-26T09:40:39.3948665-06:00,idicustomer 71,1435 Lake cook rd,deerfield,IL,60015,product 71
2020-02-26T09:40:36.5755131-06:00,idicustomer 32,1435 Lake cook rd,deerfield,IL,60015,product 32
2020-02-26T09:40:40.4195071-06:00,idicustomer 87,1435 Lake cook rd,deerfield,IL,60015,product 87
2020-02-26T09:40:40.7195282-06:00,idicustomer 92,1435 Lake cook rd,deerfield,IL,60015,product 92
2020-02-26T09:40:39.1534514-06:00,idicustomer 67,1435 Lake cook rd,deerfield,IL,60015,product 67
2020-02-26T09:40:38.8321001-06:00,idicustomer 62,1435 Lake cook rd,deerfield,IL,60015,product 62
2020-02-26T09:40:35.1140426-06:00,idicustomer 13,1435 Lake cook rd,deerfield,IL,60015,product 13
2020-02-26T09:40:34.7560167-06:00,idicustomer 8,1435 Lake cook rd,deerfield,IL,60015,product 8
2020-02-26T09:40:39.4549908-06:00,idicustomer 72,1435 Lake cook rd,deerfield,IL,60015,product 72
2020-02-26T09:40:36.6395874-06:00,idicustomer 33,1435 Lake cook rd,deerfield,IL,60015,product 33
2020-02-26T09:40:40.4752014-06:00,idicustomer 88,1435 Lake cook rd,deerfield,IL,60015,product 88
2020-02-26T09:40:40.7992405-06:00,idicustomer 93,1435 Lake cook rd,deerfield,IL,60015,product 93
2020-02-26T09:40:39.208072-06:00,idicustomer 68,1435 Lake cook rd,deerfield,IL,60015,product 68
2020-02-26T09:40:38.8881002-06:00,idicustomer 63,1435 Lake cook rd,deerfield,IL,60015,product 63
2020-02-26T09:40:35.1716955-06:00,idicustomer 14,1435 Lake cook rd,deerfield,IL,60015,product 14
2020-02-26T09:40:34.8158256-06:00,idicustomer 9,1435 Lake cook rd,deerfield,IL,60015,product 9
2020-02-26T09:40:39.5136553-06:00,idicustomer 73,1435 Lake cook rd,deerfield,IL,60015,product 73
2020-02-26T09:40:36.705536-06:00,idicustomer 34,1435 Lake cook rd,deerfield,IL,60015,product 34
2020-02-26T09:40:40.5333312-06:00,idicustomer 89,1435 Lake cook rd,deerfield,IL,60015,product 89
2020-02-26T09:40:40.8642348-06:00,idicustomer 94,1435 Lake cook rd,deerfield,IL,60015,product 94
2020-02-26T09:40:39.2630833-06:00,idicustomer 69,1435 Lake cook rd,deerfield,IL,60015,product 69
2020-02-26T09:40:38.9584016-06:00,idicustomer 64,1435 Lake cook rd,deerfield,IL,60015,product 64
2020-02-26T09:40:35.2379507-06:00,idicustomer 15,1435 Lake cook rd,deerfield,IL,60015,product 15
2020-02-26T09:40:34.9090619-06:00,idicustomer 10,1435 Lake cook rd,deerfield,IL,60015,product 10
2020-02-26T09:40:39.570631-06:00,idicustomer 74,1435 Lake cook rd,deerfield,IL,60015,product 74
2020-02-26T09:40:36.7634346-06:00,idicustomer 35,1435 Lake cook rd,deerfield,IL,60015,product 35
2020-02-26T09:40:40.6055473-06:00,idicustomer 90,1435 Lake cook rd,deerfield,IL,60015,product 90
2020-02-26T09:40:40.9531881-06:00,idicustomer 95,1435 Lake cook rd,deerfield,IL,60015,product 95
2020-02-26T09:40:39.3296885-06:00,idicustomer 70,1435 Lake cook rd,deerfield,IL,60015,product 70
2020-02-26T09:40:39.0131453-06:00,idicustomer 65,1435 Lake cook rd,deerfield,IL,60015,product 65
2020-02-26T09:40:40.0612226-06:00,idicustomer 81,1435 Lake cook rd,deerfield,IL,60015,product 81
2020-02-26T09:40:36.130921-06:00,idicustomer 26,1435 Lake cook rd,deerfield,IL,60015,product 26
2020-02-26T09:40:39.6276583-06:00,idicustomer 75,1435 Lake cook rd,deerfield,IL,60015,product 75
2020-02-26T09:40:37.9690754-06:00,idicustomer 51,1435 Lake cook rd,deerfield,IL,60015,product 51
2020-02-26T09:40:38.3485974-06:00,idicustomer 56,1435 Lake cook rd,deerfield,IL,60015,product 56
2020-02-26T09:40:36.8333169-06:00,idicustomer 36,1435 Lake cook rd,deerfield,IL,60015,product 36
2020-02-26T09:40:37.2038847-06:00,idicustomer 41,1435 Lake cook rd,deerfield,IL,60015,product 41
2020-02-26T09:40:35.7147597-06:00,idicustomer 21,1435 Lake cook rd,deerfield,IL,60015,product 21
